trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.5, 'e': 0.9332944593812939}",35,0,-198.52671003727443,"{0: 23, 1: 1, 2: 6, 3: 2, 4: 3}",1
70,False,"{'a': 0.5, 'e': 0.9323611649219126}",30,0,-174.77092084372794,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9314288037569907}",30,0,-108.31907461063679,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9304973749532336}",20,0,5.612326174464512,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.9295668775782804}",20,2,-75.96917756816192,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.9286373107007021}",20,0,-61.20435319394146,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9277086733900014}",25,0,-97.87302236823543,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9267809647166114}",25,0,-47.5314922987049,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9258541837518948}",20,0,-141.04222945398197,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.9249283295681429}",30,0,-158.4096303067551,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9240034012385747}",20,0,-133.87164132258386,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.9230793978373362}",30,0,-20.36646804578251,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.9221563184394989}",20,0,-142.64314520485073,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.9212341621210594}",25,0,-124.35785671634964,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.9203129279589383}",30,4,-137.22698211823482,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 2}",1
84,False,"{'a': 0.5, 'e': 0.9193926150309794}",25,0,-23.323443708997168,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9184732224159483}",20,0,-82.64759958248395,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9175547491935324}",30,0,-150.95102937288186,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9166371944443389}",20,1,-58.01989749526319,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.9157205572498945}",25,0,-134.5131103527746,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.9148048366926447}",20,0,-115.02124166554802,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.913890031855952}",25,0,-122.07862752999353,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.912976141824096}",20,0,-48.3330057464995,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.912063165682272}",25,0,-182.03273616528898,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
93,False,"{'a': 0.5, 'e': 0.9111511025165897}",30,0,-159.41552047118464,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.9102399514140731}",30,0,-107.40164138844013,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.9093297114626591}",25,0,-49.19232315120642,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.9084203817511963}",20,15,0.09039768650536217,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.9075119613694451}",30,0,-66.74704410503475,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9066044494080757}",35,0,-232.2638064666503,"{0: 21, 1: 4, 2: 4, 3: 2, 4: 4}",0
99,False,"{'a': 0.5, 'e': 0.9056978449586677}",30,0,-232.35017220268756,"{0: 12, 1: 4, 2: 9, 3: 3, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.9047921471137089}",35,6,-181.81849145572997,"{0: 18, 1: 0, 2: 7, 3: 1, 4: 3}",1
101,False,"{'a': 0.5, 'e': 0.9038873549665952}",20,3,-5.663171121255074,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.9029834676116286}",20,0,-160.58655371112633,"{0: 7, 1: 4, 2: 7, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.902080484144017}",25,0,-69.33829673884456,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.901178403659873}",20,1,-24.797579213570803,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.9002772252562131}",20,0,-138.24542552636674,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.8993769480309569}",20,0,-66.39159154436496,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.8984775710829259}",20,0,-74.93149888015277,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.8975790935118431}",25,0,-183.33476708218333,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.8966815144183312}",25,0,-162.9073530765864,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
110,False,"{'a': 0.5, 'e': 0.8957848329039129}",35,0,-122.90756715714468,"{0: 24, 1: 2, 2: 6, 3: 2, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.894889048071009}",25,0,-71.35011509648321,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.8939941590229379}",20,0,-79.1745170228584,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.893100164863915}",20,0,-40.112075603524225,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.8922070646990511}",20,0,-60.87170410505032,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.891314857634352}",20,0,-97.82664190832052,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.8904235427767176}",25,0,-97.42154048308143,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.889533119233941}",20,0,-99.68015890919156,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.8886435861147071}",25,0,-100.10612915274771,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.8877549425285923}",30,0,-66.65298384673211,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.8868671875860638}",20,0,-131.5602764811149,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.8859803203984776}",20,12,5.8850924702986855,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.8850943400780792}",20,0,-49.05009645029731,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.8842092457380011}",20,0,-49.6014945688771,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.8833250364922631}",25,0,-66.64227910553315,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.8824417114557709}",25,2,-121.24914413300483,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 2}",1
126,False,"{'a': 0.5, 'e': 0.8815592697443151}",30,0,-106.66025979279779,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.8806777104745708}",25,11,-33.025122023744906,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.8797970327640962}",25,0,-65.35353395303252,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.8789172357313321}",25,0,-130.17409588801024,"{0: 12, 1: 3, 2: 7, 3: 3, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.8780383184956008}",30,0,-115.30374346554188,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.8771602801771051}",30,0,-152.12196104064003,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.876283119896928}",30,0,-169.07421037835317,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
133,False,"{'a': 0.5, 'e': 0.8754068367770311}",30,0,-70.6356531592811,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.8745314299402541}",20,0,-103.76174603887202,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.8736568985103138}",25,10,-11.090737564517557,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.8727832416118035}",25,0,-167.58843338452644,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.8719104583701917}",25,0,-98.6906041824793,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
