trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
427,False,"{'a': 0.01, 'e': 0.013684473507730199}",20,0,32.221768138674584,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
428,False,"{'a': 0.01, 'e': 0.013547628772652897}",20,12,13.233137632455776,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.01, 'e': 0.013412152484926368}",20,11,14.138273119112792,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.01, 'e': 0.013278030960077104}",20,0,29.110763860717828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
431,False,"{'a': 0.01, 'e': 0.013145250650476333}",20,12,14.41926649033773,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.01, 'e': 0.01301379814397157}",30,8,30.078759402922408,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.01, 'e': 0.012883660162531854}",25,8,13.164066868091277,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
434,False,"{'a': 0.01, 'e': 0.012754823560906535}",20,0,8.08130804838271,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
435,False,"{'a': 0.01, 'e': 0.01262727532529747}",20,0,35.66023313912604,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
436,False,"{'a': 0.01, 'e': 0.012501002572044496}",30,14,29.3842026862246,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.01, 'e': 0.01237599254632405}",30,0,36.84311190840228,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
438,False,"{'a': 0.01, 'e': 0.012252232620860809}",30,0,35.88230266271638,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
439,False,"{'a': 0.01, 'e': 0.012129710294652202}",30,8,35.29923280776818,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.01, 'e': 0.01200841319170568}",20,2,31.09060736508291,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.01, 'e': 0.011888329059788622}",20,11,17.657686591714217,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.01, 'e': 0.011769445769190737}",30,20,14.311160900067843,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.01, 'e': 0.011651751311498829}",20,0,35.269303316190424,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
444,False,"{'a': 0.01, 'e': 0.01153523379838384}",20,2,24.655637136484504,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.01, 'e': 0.011419881460400001}",25,13,23.79719974958554,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.01, 'e': 0.011305682645796001}",25,5,30.74954676717951,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.01, 'e': 0.011192625819338041}",35,4,44.08102952423679,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 0}",1
